index,origin,destination,depart_time,depart_weekday,duration,arrival_time,arrival_weekday,flight_no,airline_code,airline,economy_fare,business_fare,first_fare
0,ATL,LAX,19:05:00,2,1:45:00,20:50:00,2,NK1301,NK,Spirit Airlines,255,,
1,ATL,LAX,19:05:00,1,1:45:00,20:50:00,1,NK1301,NK,Spirit Airlines,288,,
2,ATL,LAX,19:05:00,5,1:45:00,20:50:00,5,NK1301,NK,Spirit Airlines,288,,
3,ATL,LAX,19:05:00,3,1:45:00,20:50:00,3,NK1301,NK,Spirit Airlines,288,,
4,ATL,LAX,10:16:00,4,1:44:00,12:00:00,4,NK1301,NK,Spirit Airlines,399,,
5,ATL,LAX,19:05:00,6,1:45:00,20:50:00,6,NK1301,NK,Spirit Airlines,399,,
6,ATL,LAX,22:46:00,6,1:34:00,0:20:00,0,DL1137,DL,Delta Airlines,544,764,
7,ATL,LAX,20:53:00,6,1:36:00,22:29:00,6,DL2331,DL,Delta Airlines,544,1364,
8,ATL,LAX,17:00:00,6,1:30:00,18:30:00,6,DL383,DL,Delta Airlines,553,,
9,ATL,LAX,12:15:00,4,1:32:00,13:47:00,4,DL2066,DL,Delta Airlines,553,,
10,ATL,LAX,11:07:00,6,1:33:00,12:40:00,6,DL515,DL,Delta Airlines,553,,
11,ATL,LAX,22:46:00,4,1:34:00,0:20:00,5,DL1137,DL,Delta Airlines,553,764,
12,ATL,LAX,8:45:00,4,1:35:00,10:20:00,4,DL345,DL,Delta Airlines,553,764,
13,ATL,LAX,20:53:00,4,1:36:00,22:29:00,4,DL2331,DL,Delta Airlines,553,764,
14,ATL,LAX,20:53:00,5,1:36:00,22:29:00,5,DL2331,DL,Delta Airlines,553,,
15,ATL,LAX,15:10:00,4,1:38:00,16:48:00,4,DL1678,DL,Delta Airlines,553,,
16,ATL,LAX,17:50:00,5,1:40:00,19:30:00,5,DL2864,DL,Delta Airlines,553,,
17,ATL,LAX,16:35:00,4,1:40:00,18:15:00,4,DL335,DL,Delta Airlines,553,764,
18,ATL,LAX,19:30:00,6,1:40:00,21:10:00,6,DL303,DL,Delta Airlines,553,,
19,ATL,LAX,18:00:00,6,1:40:00,19:40:00,6,DL2864,DL,Delta Airlines,553,1415,
20,ATL,LAX,17:50:00,4,1:40:00,19:30:00,4,DL2864,DL,Delta Airlines,553,,
21,ATL,LAX,16:35:00,5,1:40:00,18:15:00,5,DL335,DL,Delta Airlines,553,764,
22,ATL,LAX,10:00:00,4,1:40:00,11:40:00,4,DL516,DL,Delta Airlines,553,764,
23,ATL,LAX,14:10:00,4,1:40:00,15:50:00,4,DL2284,DL,Delta Airlines,553,,
24,ATL,LAX,14:10:00,6,1:40:00,15:50:00,6,DL2284,DL,Delta Airlines,553,,
25,ATL,ORD,14:45:00,1,1:14:00,15:59:00,1,NK762,NK,Spirit Airlines,107,,
26,ATL,ORD,14:45:00,5,1:14:00,15:59:00,5,NK762,NK,Spirit Airlines,107,,
27,ATL,ORD,14:45:00,2,1:14:00,15:59:00,2,NK762,NK,Spirit Airlines,149,,
28,ATL,ORD,14:45:00,3,1:14:00,15:59:00,3,NK762,NK,Spirit Airlines,182,,
29,ATL,ORD,22:30:00,5,0:57:00,23:27:00,5,DL2976,DL,Delta Airlines,201,250,
30,ATL,ORD,19:59:00,5,1:09:00,21:08:00,5,DL1453,DL,Delta Airlines,201,240,
31,ATL,ORD,6:30:00,5,1:28:00,7:58:00,5,UA5284,UA,United Airlines,201,269,
32,ATL,ORD,8:00:00,5,1:14:00,9:14:00,5,AA2893,AA,American Airlines,201,,
33,ATL,ORD,15:05:00,5,1:17:00,16:22:00,5,AA3266,AA,American Airlines,201,,
34,ATL,ORD,18:24:00,5,1:21:00,19:45:00,5,AA3688,AA,American Airlines,201,,
35,ATL,ORD,10:56:00,2,1:12:00,12:08:00,2,UA299,UA,United Airlines,209,277,
